fips,name,state,zhvi
06023,Humboldt County,CA,423013
51650,Hampton City,VA,282712
55131,Washington County,WI,434115
39023,Clark County,OH,202843
21015,Boone County,KY,350807
26025,Calhoun County,MI,194048
48181,Grayson County,TX,288077
42021,Cambria County,PA,102271
47009,Blount County,TN,398263
37019,Brunswick County,NC,409532
37085,Harnett County,NC,295558
21227,Warren County,KY,292575
17179,Tazewell County,IL,192627
47179,Washington County,TN,311424
39173,Wood County,OH,247279
22105,Tangipahoa Parish,LA,225125
49005,Cache County,UT,474214
19013,Black Hawk County,IA,189774
17093,Kendall County,IL,399731
33017,Strafford County,NH,513513
22079,Rapides Parish,LA,173091
18095,Madison County,IN,190722
44009,Washington County,RI,691862
45077,Pickens County,SC,309162
48485,Wichita County,TX,171666
42051,Fayette County,PA,146930
25003,Berkshire County,MA,395409
34019,Hunterdon County,NJ,645030
53057,Skagit County,WA,587735
13059,Clarke County,GA,337421
36013,Chautauqua County,NY,180156
22015,Bossier Parish,LA,247060
05131,Sebastian County,AR,204518
12119,Sumter County,FL,387864
41043,Linn County,OR,413775
22005,Ascension Parish,LA,311066
04003,Cochise County,AZ,263785
39139,Richland County,OH,200820
48183,Gregg County,TX,223292
23011,Kennebec County,ME,324605
05045,Faulkner County,AR,257286
42013,Blair County,PA,180150
35045,San Juan County,NM,276696
01103,Morgan County,AL,234342
05125,Saline County,AR,255566
29097,Jasper County,MO,215829
16019,Bonneville County,ID,405181
40031,Comanche County,OK,158381
54003,Berkeley County,WV,324097
55063,La Crosse County,WI,339561
18019,Clark County,IN,268165
26005,Allegan County,MI,353476
48451,Tom Green County,TX,231703
48375,Potter County,TX,152522
37155,Robeson County,NC,136897
20045,Douglas County,KS,343038
13045,Carroll County,GA,291095
36075,Oswego County,NY,211749
37191,Wayne County,NC,184245
13113,Fayette County,GA,498831
36045,Jefferson County,NY,235506
55117,Sheboygan County,WI,330025
13185,Lowndes County,GA,231208
30063,Missoula County,MT,580196
39169,Wayne County,OH,268696
09015,Windham County,CT,380012
01015,Calhoun County,AL,171378
30031,Gallatin County,MT,701493
37089,Henderson County,NC,429185
42081,Lycoming County,PA,238627
12035,Flagler County,FL,351559
24037,Saint Marys County,MD,437878
18035,Delaware County,IN,172499
18091,La Porte County,IN,262759
36069,Ontario County,NY,331802
51003,Albemarle County,VA,561513
13217,Newton County,GA,296137
42085,Mercer County,PA,172517
41019,Douglas County,OR,347839
23001,Androscoggin County,ME,337585
21093,Hardin County,KY,246588
22109,Terrebonne Parish,LA,182582
17099,La Salle County,IL,197897
05031,Craighead County,AR,219521
53015,Cowlitz County,WA,424669
34041,Warren County,NJ,429193
51085,Hanover County,VA,462649
