fips,name,income
12045,"Gulf County, Florida",61179
12047,"Hamilton County, Florida",50144
12049,"Hardee County, Florida",60489
12051,"Hendry County, Florida",56393
12053,"Hernando County, Florida",66058
12055,"Highlands County, Florida",54897
12057,"Hillsborough County, Florida",79540
12059,"Holmes County, Florida",49343
12061,"Indian River County, Florida",73491
12063,"Jackson County, Florida",49149
12065,"Jefferson County, Florida",61212
12067,"Lafayette County, Florida",62757
12069,"Lake County, Florida",73161
12071,"Lee County, Florida",76107
12073,"Leon County, Florida",66287
12075,"Levy County, Florida",56750
12077,"Liberty County, Florida",58671
12079,"Madison County, Florida",48485
12081,"Manatee County, Florida",78457
12083,"Marion County, Florida",61010
12085,"Martin County, Florida",82943
12086,"Miami-Dade County, Florida",71753
12087,"Monroe County, Florida",87738
12089,"Nassau County, Florida",89804
12091,"Okaloosa County, Florida",81998
12093,"Okeechobee County, Florida",57984
12095,"Orange County, Florida",79719
12097,"Osceola County, Florida",72637
12099,"Palm Beach County, Florida",83581
12101,"Pasco County, Florida",70492
12103,"Pinellas County, Florida",72646
12105,"Polk County, Florida",65978
12107,"Putnam County, Florida",47934
12109,"St. Johns County, Florida",109839
12111,"St. Lucie County, Florida",71457
12113,"Santa Rosa County, Florida",91922
12115,"Sarasota County, Florida",83416
12117,"Seminole County, Florida",85761
12119,"Sumter County, Florida",76508
12121,"Suwannee County, Florida",56658
12123,"Taylor County, Florida",49073
12125,"Union County, Florida",64146
12127,"Volusia County, Florida",70044
12129,"Wakulla County, Florida",81895
12131,"Walton County, Florida",81986
12133,"Washington County, Florida",58210
13001,"Appling County, Georgia",46651
13003,"Atkinson County, Georgia",42347
13005,"Bacon County, Georgia",44694
13007,"Baker County, Georgia",46012
13009,"Baldwin County, Georgia",54403
13011,"Banks County, Georgia",77063
13013,"Barrow County, Georgia",80653
13015,"Bartow County, Georgia",82243
13017,"Ben Hill County, Georgia",41758
13019,"Berrien County, Georgia",52876
13021,"Bibb County, Georgia",51234
13023,"Bleckley County, Georgia",62008
13025,"Brantley County, Georgia",58239
13027,"Brooks County, Georgia",46807
13029,"Bryan County, Georgia",103408
13031,"Bulloch County, Georgia",58810
13033,"Burke County, Georgia",53014
13035,"Butts County, Georgia",69241
13037,"Calhoun County, Georgia",46940
13039,"Camden County, Georgia",74378
13043,"Candler County, Georgia",49581
13045,"Carroll County, Georgia",73714
13047,"Catoosa County, Georgia",74639
13049,"Charlton County, Georgia",61276
13051,"Chatham County, Georgia",71097
13053,"Chattahoochee County, Georgia",61042
13055,"Chattooga County, Georgia",50285
13057,"Cherokee County, Georgia",108115
13059,"Clarke County, Georgia",53625
13061,"Clay County, Georgia",49147
13063,"Clayton County, Georgia",59806
13065,"Clinch County, Georgia",45847
