County,ST,State,GOP Share,Total Votes,Bachelor's+,Z-Score Index,Z Rank,Percentile Index,P Rank,RESI,RESI Rank,GOP Pctile,Vote Pctile,Edu Pctile,GOP z,Vote z,Edu z
Tangipahoa,LA,Louisiana,68.05,55104,20.81,0.003719,80,0.372819,489,9214.3,255,0.453,0.823,0.424,0.0879,0.0423,-0.3847
Douglas,OR,Oregon,67.24,61807,19.31,0.003326,81,0.366643,511,9637.9,236,0.437,0.839,0.342,0.0368,0.0904,-0.5303
Walton,FL,Florida,78.57,49601,35.03,0.002149,82,0.597851,32,17493.0,71,0.739,0.809,0.852,0.7513,0.0029,0.9920
Rapides,LA,Louisiana,67.74,53395,23.12,0.002053,83,0.366464,512,8694.8,276,0.448,0.818,0.538,0.0683,0.0301,-0.1614
Charlotte,FL,Florida,66.69,123676,27.05,0.001026,84,0.388570,435,18361.5,61,0.427,0.910,0.684,0.0019,0.5339,0.2190
Berkeley,WV,West Virginia,66.99,56102,25.11,0.001015,85,0.357658,551,8551.3,285,0.433,0.826,0.622,0.0205,0.0495,0.0311
Cleveland,NC,North Carolina,67.02,51706,21.95,0.000409,86,0.352842,572,7906.5,331,0.434,0.813,0.485,0.0228,0.0180,-0.2741
Bradley,TN,Tennessee,78.86,49246,24.44,0.000243,87,0.602768,30,17678.4,70,0.746,0.808,0.592,0.7698,0.0003,-0.0330
Rockingham,NC,North Carolina,67.44,49595,16.97,0.000139,88,0.357578,553,7867.9,332,0.442,0.809,0.225,0.0492,0.0028,-0.7564
District 1,AK,Alaska,56.63,8584,25.17,0.000000,89,0.090404,2312,364.9,2451,0.233,0.388,0.624,-0.6329,-0.2912,0.0373
District 10,AK,Alaska,49.72,8763,37.84,0.000000,90,0.061152,2563,-12.4,2658,0.156,0.392,0.886,-1.0688,-0.2899,1.2642
District 11,AK,Alaska,49.43,9840,46.65,0.000000,91,0.066708,2503,-28.6,2664,0.153,0.436,0.955,-1.0870,-0.2822,2.1166
District 12,AK,Alaska,47.67,8515,32.90,0.000000,92,0.051724,2642,-108.7,2703,0.134,0.386,0.815,-1.1982,-0.2917,0.7853
District 13,AK,Alaska,47.37,7577,28.52,0.000000,93,0.045195,2706,-110.5,2704,0.131,0.345,0.722,-1.2173,-0.2984,0.3613
District 14,AK,Alaska,37.27,7426,32.77,0.000000,94,0.019040,2939,-743.6,2810,0.056,0.340,0.813,-1.8540,-0.2995,0.7728
District 15,AK,Alaska,49.44,9293,41.91,0.000000,95,0.063495,2536,-26.8,2663,0.153,0.415,0.927,-1.0868,-0.2861,1.6582
District 16,AK,Alaska,40.64,9669,43.99,0.000000,96,0.033540,2811,-638.2,2797,0.078,0.430,0.939,-1.6420,-0.2834,1.8587
District 17,AK,Alaska,31.19,7718,43.02,0.000000,97,0.011168,3024,-1375.1,2851,0.032,0.349,0.934,-2.2381,-0.2974,1.7650
District 18,AK,Alaska,55.77,4816,31.83,0.000000,98,0.050175,2658,172.9,2573,0.223,0.225,0.796,-0.6869,-0.3182,0.6821
District 19,AK,Alaska,39.22,5025,22.56,0.000000,99,0.016590,2973,-400.0,2767,0.070,0.237,0.513,-1.7310,-0.3167,-0.2149
District 2,AK,Alaska,47.41,9563,26.92,0.000000,100,0.055544,2609,-136.9,2716,0.131,0.424,0.680,-1.2144,-0.2842,0.2069
District 20,AK,Alaska,41.85,7267,33.78,0.000000,101,0.029145,2844,-400.7,2768,0.087,0.335,0.831,-1.5656,-0.3006,0.8707
